"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","coef","singlecoef"
"1","ENST00000001008",10.3248315476775,0.0013125223908593,0.0253283512602662,0.0343800314792957,0.00408456402246419,0.00164544122408509,6.56390383555151,0.0456332678770902,0.00408456402246419,0.00764339857993094,0.00764339857993094,1,"ENSG00000004478","FKBP4",0.377526716710444,-0.112727450571484
"2","ENST00000003100",19.9998184138458,7.74495188193967e-06,0.000907587517342476,0.129535533249985,0.0196673757415227,0.0019218798001415,6.71301008809701,0.0297902064002581,0.0196673757415227,0.00741128698004282,0.0196673757415227,1,"ENSG00000001630","CYP51A1",0.198740926273153,0.248144071400322
"3","ENST00000009041",14.4368257035971,0.000144940170187268,0.0055614249652983,0.377914742213468,0.0522268489377301,0.0107589414311813,5.78280932334762,0.0540444390265984,0.0522268489377301,0.0108381740502366,0.0522268489377301,1,"ENSG00000010270","STARD3NL",-0.0140771263530894,0.403297768315414
"4","ENST00000009589",32.8220314724361,1.00993713141064e-08,2.43394139417265e-05,2.14847010495415,0.347835397269307,0.0102429535563851,7.09378245763787,0.311249043075459,0.347835397269307,0.00725692467731133,0.347835397269307,1,"ENSG00000008988","RPS20",-0.123030883468452,-1.03371179269984
"5","ENST00000011619",9.8031750555846,0.00174210829017299,0.0307749700055542,0.0382855159395099,0.00400523717835668,0.00237568214489497,6.07950531224653,0.0131052358048405,0.00400523717835668,0.0091699090525097,0.0091699090525097,1,"ENSG00000010017","RANBP9",0.16347956247552,0.124800398315189
"6","ENST00000013125",23.1145696806722,1.52629776211073e-06,0.000334765724646312,0.172860500681253,0.0273385888001106,0.00147149464676482,6.47001823528313,0.0273226182349474,0.0273385888001106,0.00784255813851247,0.0273385888001106,1,"ENSG00000012983","MAP4K5",-0.0959109664307989,0.289171521390706
"7","ENST00000020673",9.5664406128187,0.00198166628614586,0.0335138915516767,33.5725016970087,4.81731523812575,0.778101711375702,2.05261544909312,5.21769123784833,4.81731523812575,0.849444841319217,4.81731523812575,1,"ENSG00000059915","PSD",1.21477095946717,-3.4629356077359
"8","ENST00000025008",13.1761628147409,0.000283532736146222,0.00868630049322131,1.17831232697971,0.129737905831432,0.0666474819985186,6.120131654175,0.170555803500073,0.129737905831432,0.00899016540624019,0.129737905831432,1,"ENSG00000023287","RB1CC1",-0.088256154235295,0.73873474932455
"9","ENST00000025301",14.2089061670389,0.000163594388710105,0.00606522831261868,0.133411151075423,0.0211832812524052,0.00105191059349873,6.68604005937666,0.0191076517908689,0.0211832812524052,0.00744585802913868,0.0211832812524052,1,"ENSG00000023516","AKAP11",-0.0130845607618214,0.236731466914963
"10","ENST00000031146",14.7702619318893,0.000121435549190394,0.00496762273617086,0.159204229405181,0.0236638697890345,0.0028701684451623,5.97603722691427,0.031188681575709,0.0236638697890345,0.00967755536969797,0.0236638697890345,1,"ENSG00000029364","SLC39A9",0.171925189580791,0.260734601168841
"11","ENST00000033079",8.82730684697016,0.00296756015495701,0.0441738706669862,0.123153199464244,0.017874328242425,0.00265120500161565,6.11033368759204,0.0220071372129907,0.017874328242425,0.00903254310941453,0.017874328242425,1,"ENSG00000031003","FAM13B",0.124291514245123,0.20563892569633
"12","ENST00000037243",9.11113776854129,0.00254057800195792,0.0395272790266955,0.0426215718069044,0.00427804831121222,0.00282554698993852,5.83748971854157,0.0441316923209093,0.00427804831121222,0.0104794741310981,0.0104794741310981,1,"ENSG00000034713","GABARAPL2",-0.364897433835495,0.132244992365526
"13","ENST00000040738",10.0893829062828,0.00149126037447046,0.0275709653433397,0.0808881152280868,0.0123484784062502,0.00113287413176427,6.87892878933083,0.0344423977501265,0.0123484784062502,0.00726820305354541,0.0123484784062502,1,"ENSG00000038219","BOD1L1",0.283027091479596,0.172115494596886
"14","ENST00000053468",9.85798904478866,0.00169095838063399,0.030107441081051,0.153503929144778,0.0199680370832561,0.00561595110754013,5.15792655125928,0.0247895425103084,0.0199680370832561,0.0174382536272597,0.0199680370832561,1,"ENSG00000048544","MRPS10",0.100057154735136,0.259522519548686
"15","ENST00000054950",11.6564312186926,0.000639809618700136,0.0154104582066798,0.0419517243683912,0.00558735519093584,0.00140459887046269,7.28995091527548,0.00847362574989465,0.00558735519093584,0.00741918310007805,0.00741918310007805,1,"ENSG00000049449","RCN1",-0.0931763271460926,0.127657383746936
"16","ENST00000062104",11.9090463622997,0.000558619909713582,0.0140274722920935,0.111021027564733,0.0180232037744487,0.000480300819673476,9.29190740097848,0.0559942665274346,0.0180232037744487,0.0273912503833387,0.0273912503833387,1,"ENSG00000053438","NNAT",-0.374792501343948,-0.222095067293977
"17","ENST00000064778",10.2620570616826,0.00135794181633461,0.0258792071871935,0.00509822728572158,-0.000262635606567509,0.00111234015418777,6.84210323560678,0.00859208952621336,0,0.00728975240162123,0.00728975240162123,1,"ENSG00000054965","FAM168A",-0.165901174495197,-0.0240085743369324
"18","ENST00000066544",19.132300035868,1.21963279454484e-05,0.00121641806826545,0.246618556775607,0.0376624241211229,0.00344066867481159,6.02244096228363,0.0353160028578015,0.0376624241211229,0.0094407713463309,0.0376624241211229,1,"ENSG00000004897","CDC27",-0.0172258995266523,0.338804682069276
"19","ENST00000078429",11.4339571631415,0.000721139372760329,0.016641600357708,0.127873842616566,0.0162174753833479,0.0050948317194131,5.6806708229593,0.0183101168052048,0.0162174753833479,0.0115785655823945,0.0162174753833479,1,"ENSG00000088256","GNA11",0.0121855451225434,-0.234637566233611
